iter	RMSE
0	371911.2264
1	362093.0865
2	352442.2518
3	344334.6309
4	335564.5766
5	327081.0429
6	319932.4859
7	312353.6433
8	305424.2287
9	298704.3185
10	292384.1345
11	290746.965
12	289150.6716
13	285901.7981
14	284374.1145
15	278913.5228
16	277463.8016
17	276181.5251
18	271015.2345
19	269682.248
20	268358.1862
21	267087.6349
22	265798.9915
23	264588.2211
24	263402.1565
25	262355.4329
26	261245.8026
27	260154.9149
28	256273.0444
29	255238.4864
30	254228.0811
31	250425.2812
32	249425.3884
33	246119.6559
34	242775.9423
35	240363.3533
36	239644.3066
37	238758.1543
38	236344.1062
39	234351.5224
40	233638.8563
41	230711.2219
42	229540.5506
43	228765.8
44	227046.095
45	226317.3381
46	224577.1908
47	222400.6567
48	221721.1109
49	217866.8104
50	217206.9814
51	216677.7532
52	216171.1978
53	215571.7957
54	212449.3457
55	211864.3651
56	211341.4885
57	208709.2811
58	208170.5452
59	207644.2363
60	207168.7051
61	206704.8394
62	206249.1204
63	202937.2147
64	202479.4346
65	200848.8269
66	200472.3607
67	198580.5102
68	198170.1941
69	195752.3627
70	193946.162
71	193585.218
72	192580.6603
73	190123.0426
74	188777.4204
75	188421.3814
76	188101.2169
77	187400.7669
78	187102.6428
79	186807.1916
80	186534.1259
81	185505.0703
82	183790.7165
83	183211.2825
84	182956.0093
85	182710.251
86	182470.506
87	181909.7126
88	181651.73
89	180265.5224
90	180050.3093
91	178640.962
92	177852.8411
93	177337.3212
94	177135.6739
95	176943.8097
96	176227.9319
97	175412.7691
98	175205.8177
99	175029.2512
100	173839.0797
101	173140.5843
102	172936.55
103	171886.3314
104	171732.6231
105	170814.2783
106	169967.7041
107	169818.8105
108	169677.2179
109	168349.7589
110	167916.1776
111	167786.3199
112	167657.4987
113	167533.1754
114	167070.4035
115	165882.504
116	165723.339
117	165610.0903
118	165216.4475
119	164876.0698
120	164069.8094
121	163201.8747
122	162221.8383
123	161487.3097
124	161392.5812
125	161294.4838
126	160300.7319
127	160212.7642
128	158535.7221
129	157623.6495
130	156333.7357
131	156252.0122
132	156170.7804
133	155211.687
134	154710.3785
135	153942.9627
136	153031.6765
137	152723.2418
138	152653.06
139	151922.4222
140	151621.2486
141	151557.8437
142	151128.3807
143	150842.2502
144	150258.1419
145	150199.1327
146	149921.3533
147	149444.7223
148	149390.8714
149	148423.3409
150	148372.4255
151	148090.181
152	147404.4319
153	147186.1697
154	146429.0055
155	146382.8174
156	146148.1794
157	145539.7176
158	145091.6537
159	145050.858
160	144722.4885
161	144487.3621
162	144337.7416
163	144308.1382
164	144091.5361
165	144054.6787
166	143942.2589
167	143425.6057
168	143217.2417
169	143185.0465
170	142811.8938
171	142593.9114
172	142564.662
173	142535.9472
174	142165.859
175	142015.1527
176	141988.3024
177	141305.7396
178	140942.4979
179	140917.8353
180	140716.6049
181	140468.4677
182	140250.2874
183	139858.8277
184	139462.4522
185	139441.6077
186	139349.61
187	139179.7394
188	138991.2472
189	138724.4807
190	138639.697
191	138621.7117
192	138190.5852
193	138015.1561
194	137590.5279
195	137517.9417
196	137305.6276
197	137213.99
198	136953.1757
199	136807.1713
200	136401.376
201	136387.4334
202	136175.415
203	135949.8153
204	135560.6187
205	135401.9293
206	135198.2882
207	135185.4067
208	134726.765
209	134584.1921
210	134430.6183
211	134418.8354
212	134097.7213
213	134023.5992
214	134012.7342
215	133937.074
216	133761.6652
217	133597.7306
218	133587.5099
219	133577.8896
220	133569.5478
221	133543.643
222	133534.7657
223	133376.328
224	133144.3932
225	133136.1897
226	133128.2079
227	133120.4418
228	133062.6813
229	132869.9935
230	132862.688
231	132605.1995
232	132598.343
233	132591.6714
234	132585.1492
235	132578.7968
236	132293.4187
237	132022.6175
238	131796.1264
239	131790.3187
240	131525.1487
241	131519.6182
242	131503.1197
243	131380.3205
244	131375.2278
245	131134.7358
246	130860.4164
247	130855.5487
248	130701.3434
249	130696.7889
250	130426.6156
251	130217.9862
252	129977.4042
253	129973.2357
254	129823.791
255	129686.948
256	129461.4295
257	129271.4815
258	129120.44
259	129116.8225
260	128911.1669
261	128708.7457
262	128517.2619
263	128386.9511
264	128259.0579
265	128078.674
266	127951.6619
267	127828.0833
268	127707.8197
269	127496.6413
270	127307.0718
271	127190.7449
272	127035.75
273	126922.5823
274	126812.4441
275	126705.2547
276	126600.9355
277	126499.41
278	126307.6293
279	126208.8724
280	126112.7595
281	126019.2202
282	125928.186
283	125839.59
284	125753.3675
285	125669.4551
286	125540.7108
287	125458.9649
288	125379.4105
289	125301.9892
290	125226.6441
291	125153.3198
292	125081.9625
293	125012.5196
294	124945.2778
295	124879.4924
296	124815.4728
297	124753.172
298	124692.5441
299	124633.5444
300	124576.1293
301	124368.2528
302	124312.2609
303	124083.7072
304	124029.0766
305	123976.1268
306	123924.3775
307	123874.0187
308	123640.8226
309	123591.7624
310	123400.3827
311	123352.7828
312	123306.6526
313	123261.5777
314	123101.375
315	123057.3714
316	122887.2547
317	122844.5722
318	122803.035
319	122762.2122
320	122530.8176
321	122455.4386
322	122415.6821
323	122227.871
324	122189.1516
325	121894.683
326	121857.1148
327	121820.3602
328	121784.5987
329	121629.7137
330	121594.8704
331	121560.9683
332	121455.6401
333	121422.69
334	121390.7894
335	121271.2855
336	121240.0324
337	121209.6229
338	120834.5783
339	120804.9567
340	120569.9505
341	120541.0244
342	120513.0009
343	120485.6072
344	120270.6325
345	120107.0547
346	120022.5183
347	119922.191
348	119895.5358
349	119802.4472
350	119776.5178
351	119751.2868
352	119726.7354
353	119502.5111
354	119360.1949
355	119250.9657
356	119227.2196
357	119204.3141
358	119181.8286
359	119107.7457
360	119085.837
361	119064.5213
362	118947.3945
363	118718.8121
364	118601.7797
365	118581.0045
366	118560.792
367	118541.1268
368	118434.5259
369	118367.5479
370	118244.6496
371	118158.7472
372	118089.3201
373	117897.417
374	117792.6862
375	117751.0408
376	117614.7413
377	117503.0484
378	117424.3774
379	117405.1411
380	117355.3659
381	117160.6857
382	117141.9422
383	117123.475
384	117105.5116
385	117088.0378
386	116979.3227
387	116962.5156
388	116862.9786
389	116846.3474
390	116830.1693
391	116814.4316
392	116708.6414
393	116659.62
394	116644.3756
395	116541.4841
396	116526.5717
397	116338.4389
398	116158.8544
399	116144.3825
400	116130.1915
401	116116.3211
402	116102.8269
403	116089.6988
404	116010.7853
405	115998.0162
406	115827.8148
407	115815.3021
408	115693.1496
409	115594.7189
410	115582.1661
411	115425.113
412	115328.723
413	115239.9663
414	115129.1415
415	115020.8515
416	114913.2516
417	114901.9962
418	114794.5416
419	114700.2939
420	114595.967
421	114494.7714
422	114201.3979
423	114102.9843
424	114001.4536
425	113860.5526
426	113778.208
427	113647.388
428	113520.6695
429	113421.1365
430	113332.8501
431	113224.4781
432	113138.6434
433	113085.1487
434	113011.3833
435	112939.7169
436	112825.3324
437	112815.4875
438	112805.8488
439	112579.6932
440	112541.7331
441	112511.1553
442	112432.518
443	112362.5721
444	112326.0835
445	112317.1405
446	112308.4972
447	112224.328
448	112105.3514
449	112042.8162
450	111975.2834
451	111909.5526
452	111901.0812
453	111821.9076
454	111785.576
455	111714.5563
456	111706.3741
457	111698.4159
458	111610.7533
459	111485.5311
460	111372.6493
461	111308.7851
462	111230.4882
463	111134.0159
464	111073.6991
465	111004.0189
466	110962.6111
467	110903.8875
468	110797.152
469	110755.0718
470	110694.7465
471	110687.1109
472	110627.2759
473	110546.2263
474	110504.0509
475	110440.1556
476	110379.7915
477	110328.4005
478	110252.1311
479	110245.3311
480	110192.8951
481	110186.2791
482	110113.9961
483	110064.2508
484	110018.5614
485	109950.5717
486	109903.4018
487	109853.2959
488	109788.5549
489	109743.838
490	109700.3219
491	109657.9745
492	109616.7647
493	109573.0097
494	109497.2065
495	109442.4858
496	109381.9966
497	109300.4032
498	109266.093
499	109215.0839
500	109158.973
501	109100.9103
502	109060.5243
503	109017.1673
504	108923.9375
505	108884.5923
506	108813.4337
507	108775.0936
508	108769.2879
509	108730.6738
510	108694.3253
511	108640.8285
512	108606.9792
513	108541.4887
514	108505.5263
515	108425.0582
516	108398.5193
517	108334.4886
518	108296.4972
519	108242.3093
520	108181.3459
521	108135.0279
522	108062.5858
523	107995.0456
524	107989.5773
525	107956.7424
526	107922.9199
527	107890.0067
