iter	Passed	Remaining
0	1	1486
1	4	2374
2	8	2915
3	12	3137
4	16	3249
5	20	3403
6	23	3319
7	26	3346
8	30	3397
9	33	3318
10	37	3354
11	39	3255
12	42	3224
13	45	3226
14	48	3165
15	51	3147
16	53	3093
17	56	3063
18	58	3025
19	60	2948
20	62	2924
21	65	2909
22	67	2884
23	69	2827
24	72	2808
25	74	2781
26	75	2734
27	78	2711
28	80	2688
29	81	2648
30	83	2598
31	85	2576
32	86	2546
33	88	2527
34	91	2510
35	93	2498
36	94	2464
37	96	2445
38	98	2429
39	100	2413
40	102	2400
41	104	2385
42	106	2368
43	108	2352
44	110	2339
45	111	2322
46	113	2311
47	115	2296
48	117	2281
49	119	2271
50	121	2256
51	122	2238
52	124	2216
53	124	2187
54	126	2178
55	128	2165
56	129	2147
57	131	2135
58	133	2124
59	134	2111
60	135	2092
61	137	2081
62	139	2069
63	140	2060
64	141	2042
65	143	2030
66	144	2018
67	146	2009
68	148	1997
69	149	1986
70	151	1976
71	152	1959
72	153	1947
73	155	1943
74	157	1936
75	158	1922
76	160	1919
77	161	1912
78	163	1909
79	165	1897
80	166	1886
81	167	1880
82	169	1874
83	171	1866
84	173	1866
85	174	1855
86	176	1847
87	177	1840
88	178	1831
89	180	1823
90	181	1810
91	182	1802
92	184	1795
93	185	1787
94	186	1781
95	188	1773
96	189	1766
97	191	1758
98	192	1752
99	193	1741
100	194	1735
101	196	1728
102	197	1721
103	199	1717
104	200	1705
105	201	1698
106	202	1691
107	204	1686
108	205	1678
109	206	1673
110	208	1669
111	209	1659
112	210	1651
113	211	1647
114	213	1642
115	214	1637
116	216	1632
117	217	1622
118	218	1618
119	220	1613
120	221	1609
121	223	1605
122	224	1599
123	225	1595
124	226	1585
125	227	1580
126	229	1576
127	230	1568
128	231	1564
129	233	1559
130	234	1555
131	235	1549
132	237	1545
133	238	1541
134	239	1537
135	241	1534
136	243	1530
137	244	1527
138	245	1522
139	247	1518
140	248	1515
141	249	1507
142	250	1504
143	252	1500
144	253	1497
145	255	1494
146	256	1490
147	258	1487
148	259	1482
149	261	1479
150	262	1476
151	264	1472
152	265	1470
153	266	1466
154	268	1462
155	269	1458
156	270	1454
157	272	1451
158	273	1448
159	275	1445
160	276	1441
161	278	1438
162	279	1436
163	280	1429
164	281	1426
165	283	1424
166	284	1421
167	286	1419
168	288	1416
169	288	1410
170	290	1408
171	292	1405
172	293	1401
173	294	1397
174	295	1394
175	297	1391
176	298	1385
177	299	1383
178	301	1381
179	302	1376
180	303	1373
181	305	1371
182	306	1369
183	308	1366
184	309	1363
185	310	1357
186	311	1353
187	312	1350
188	314	1347
189	315	1344
190	316	1342
191	317	1336
192	319	1334
193	320	1332
194	322	1331
195	324	1330
196	325	1328
197	327	1326
198	329	1325
199	330	1323
200	332	1322
201	333	1318
202	335	1316
203	337	1315
204	338	1313
205	340	1311
206	341	1309
207	343	1307
208	344	1304
209	346	1302
210	347	1299
211	348	1296
212	350	1294
213	351	1292
214	353	1289
215	354	1287
216	356	1285
217	357	1282
218	358	1279
219	359	1275
220	360	1270
221	361	1268
222	362	1264
223	364	1261
224	365	1259
225	366	1256
226	368	1254
227	369	1250
228	370	1248
229	372	1246
230	373	1243
231	375	1241
232	376	1239
233	377	1236
234	379	1234
235	380	1232
236	382	1230
237	383	1227
238	384	1225
239	386	1223
240	387	1221
241	389	1219
242	390	1217
243	392	1215
244	393	1211
245	394	1210
246	396	1208
247	397	1205
248	398	1203
249	400	1201
250	401	1199
251	403	1197
252	404	1195
253	406	1192
254	407	1190
255	408	1188
256	410	1186
257	412	1186
258	414	1185
259	415	1183
260	417	1181
261	418	1180
262	420	1178
263	422	1176
264	423	1175
265	425	1173
266	426	1171
267	427	1168
268	429	1166
269	430	1164
270	432	1162
271	433	1160
272	435	1158
273	436	1156
274	437	1154
275	439	1151
276	440	1150
277	442	1148
278	443	1147
279	445	1144
280	446	1142
281	447	1140
282	449	1138
283	450	1135
284	451	1133
285	453	1131
286	454	1130
287	456	1128
288	457	1126
289	459	1123
290	460	1121
291	461	1119
292	463	1117
293	464	1115
294	465	1113
295	467	1111
296	468	1108
297	469	1106
298	471	1104
299	472	1102
300	473	1100
301	475	1099
302	476	1096
303	478	1095
304	479	1093
305	481	1091
306	482	1089
307	483	1086
308	485	1085
309	486	1083
310	488	1081
311	489	1079
312	491	1077
313	492	1075
314	493	1073
315	495	1071
316	496	1069
317	497	1067
318	499	1065
319	500	1063
320	502	1061
321	503	1060
322	504	1058
323	506	1056
324	507	1054
325	509	1052
326	510	1050
327	511	1048
328	513	1046
329	514	1044
330	515	1042
331	517	1040
332	518	1039
333	520	1037
334	521	1035
335	523	1033
336	524	1031
337	525	1029
338	527	1028
339	528	1026
340	530	1024
341	531	1022
342	532	1020
343	534	1018
344	535	1017
345	537	1015
346	538	1013
347	539	1011
348	541	1009
349	542	1008
350	544	1006
351	545	1004
352	546	1002
353	548	1000
354	549	999
355	551	997
356	552	995
357	554	993
358	555	991
359	556	989
360	558	987
361	559	985
362	561	984
363	562	983
364	564	981
365	565	979
366	566	977
367	568	975
368	569	974
369	571	972
370	572	970
371	574	969
372	575	967
373	576	965
374	578	964
375	580	962
376	581	961
377	582	959
378	584	957
379	585	955
380	587	954
381	588	952
382	590	950
383	591	948
384	592	947
385	594	945
386	595	943
387	597	941
388	598	940
389	599	938
390	601	936
391	602	934
392	604	932
393	605	931
394	606	929
395	608	927
396	609	926
397	611	924
398	612	922
399	614	921
400	615	919
401	616	917
402	618	915
403	619	913
404	621	912
405	622	910
406	624	909
407	625	907
408	626	905
409	628	904
410	629	902
411	631	900
412	632	899
413	634	897
414	635	895
415	637	894
416	638	893
417	640	891
418	641	889
419	643	888
420	644	886
421	645	884
422	647	883
423	648	881
424	650	879
425	651	877
426	653	877
427	655	875
428	656	874
429	658	872
430	659	871
431	661	869
432	662	867
433	664	866
434	665	864
435	667	863
436	668	861
437	670	859
438	671	857
439	672	856
440	674	854
441	675	853
442	677	851
443	678	850
444	680	848
445	681	847
446	683	845
447	684	843
448	686	842
449	687	840
450	689	839
451	690	837
452	692	835
453	693	834
454	694	832
455	696	830
456	697	829
457	699	827
458	700	826
459	702	824
460	704	823
461	705	821
462	706	819
463	708	818
464	709	816
465	711	815
466	713	813
467	714	812
468	716	810
469	717	808
470	718	807
471	720	805
472	721	804
473	723	802
474	724	800
475	726	799
476	727	797
477	729	796
478	730	794
479	731	792
480	733	791
481	734	789
482	736	787
483	737	786
484	739	784
485	740	783
486	742	781
487	743	780
488	745	778
489	746	777
490	748	775
491	750	774
492	751	772
493	753	771
494	754	769
495	756	768
496	757	766
497	759	765
498	760	763
499	762	762
500	763	760
501	765	759
502	767	757
503	768	756
504	770	754
505	771	753
506	773	751
507	774	750
508	775	748
509	777	746
510	778	745
511	780	743
512	781	742
513	783	740
514	784	738
515	786	737
516	787	736
517	789	734
518	791	733
519	792	731
520	794	730
521	795	728
522	797	727
523	798	725
524	800	723
525	801	722
526	803	720
527	804	719
528	806	717
529	807	716
530	809	714
531	810	713
532	812	711
533	813	710
534	815	708
535	817	707
536	818	705
537	820	704
538	821	702
539	823	701
540	824	699
541	825	697
542	826	695
543	828	694
544	829	692
545	831	691
546	832	689
547	834	688
548	835	686
549	836	684
550	838	683
551	839	681
552	841	679
553	842	678
554	844	676
555	845	675
556	847	673
557	848	672
558	850	670
559	852	669
560	853	667
561	855	666
562	856	664
563	858	663
564	859	661
565	860	660
566	862	658
567	864	657
568	865	655
569	867	654
570	868	652
571	870	651
572	871	649
573	873	647
574	874	646
575	875	644
576	877	643
577	879	641
578	880	640
579	882	638
580	883	637
581	884	635
582	886	634
583	887	632
584	889	630
585	890	629
586	892	627
587	893	626
588	895	624
589	896	623
590	898	621
591	899	620
592	901	618
593	902	616
594	904	615
595	905	614
596	907	612
597	908	611
598	910	609
599	911	607
600	913	606
601	915	605
602	916	603
603	918	602
604	919	600
605	921	598
606	922	597
607	924	595
608	925	594
609	927	593
610	929	591
611	930	589
612	931	588
613	933	586
